neighborhood,pop,Murder,Rape,Robbery,Armed Robbery,Agg. Assault,Agg. Assault w/ Gun,all_person,Burglary,Larceny,Auto Theft,Arson,all_property,total,points
DeBaliviere Place,3466,1,2,14,10,9,3,26,14,157,28,0,199,225,"167.943,453.35 131.788,449.755 132.615,445.074 129.977,444.841 133.572,422.517 166.91,425.683 172.171,427.184"
Downtown,3721,4,17,52,29,76,22,149,45,943,62,4,1054,1203,"471.411,560.012 453.016,551.271 450.329,551.116 421.782,545.312 444.033,487.695 472.615,492.972 479.918,491.33 504.299,494.301 502.94,501.554 500.705,512.062 495.921,524.798 490.078,541.151 482.763,563.813"
Downtown West,3940,0,8,58,23,91,41,157,29,650,73,5,757,914,"444.187,487.8 383.314,474.833 382.86,485.692 364.167,518.295 364.621,529.024 362.967,533.124 422.042,545.273"
Dutchtown,15770,5,18,82,60,215,123,320,364,471,155,11,1001,1321,"230.022,701.305 232.09,702.251 232.866,701.54 270.987,722.12 285.182,678.385 323.176,683.182 329.445,677.455 334.099,658.993 272.773,651.159 219.991,645.783 219.834,657.588 220.895,662.731 225.368,670.433 229.854,678.037 231.805,685.289 234.195,691.133"
Ellendale,1575,0,1,8,4,4,1,13,10,106,13,1,130,143,"10.75,621.324 16.565,608.18 19.125,602.736 21.8,592.746 24.193,586.253 31.135,573.055 36.448,557.632 43.183,554.349 53.809,550.977 95.681,537.828 104.937,534.791 120.488,532.387 119.158,541.797 119.983,545.414 109.513,547.588 104.109,549.683 88.636,555.925 78.396,560.736 72.722,565.171 67.345,572.125 65.534,577.955 62.237,583.397 55.438,588.294 46.931,594.32 43.26,597.127 37.935,603.316 33.474,607.183 28.743,609.806 21.142,613.375 17.095,616.349 14.251,618.171 10.671,622.127"
Fairground,1793,6,2,20,17,39,19,67,25,82,16,1,124,191,"350.685,373.472 359.359,361.086 364.465,355.009 378.205,361.086 384.8,368.092 388.808,369.955 395.993,374.737 397.962,380.229 381.203,402.893 368.924,397.41 377.624,385.131"
Forest Park SE,2918,0,3,14,7,20,3,37,77,221,31,0,329,366,"276.972,497.958 262.766,500.765 255.889,501.93 248.547,501.694 241.527,501.694 235.993,502.628 231.662,502.524 226.105,501.229 220.739,499.601 216.112,498.892 211.627,498.773 206.675,499.472 202.499,507.308 202.797,512.438 199.655,526.348 197.134,540.697 195.93,546.309 203.998,545.96 211.483,545.96 218.349,545.79 248.869,519.795 260.012,513.138 266.361,508.159 276.677,499.177"
Fountain Park,1484,1,0,11,7,33,14,45,29,63,29,1,122,167,"233.15,397.516 212.956,390.509 206.547,430.918 227.023,432.314"
Fox Park,2632,2,3,7,5,13,5,25,30,96,26,1,153,178,"353.695,563.037 344.413,561.642 338.572,561.396 329.897,560.709 325.41,581.382 322.593,595.394 320.486,604.984 347.711,593.302 349.495,583.954"
Franz Park,2442,0,0,1,1,8,1,9,10,49,20,0,79,88,"36.448,557.632 46.182,516.446 74.364,519.251 75.85,523.167 81.991,524.396 85.585,525.961 88.055,527.202 95.604,537.415 46.763,553.068"
The Gate District,3456,0,1,4,4,23,12,28,26,127,35,0,188,216,"362.655,533.006 357.123,546.566 353.695,562.324 327.223,560.229 320.486,559.299 313.894,557.075 308.528,554.737 302.245,553.458 290.287,552.398 293.131,537.298 299.571,519.897"
Covenant-Blu/Grand Ctr,3562,0,5,23,17,33,20,61,27,186,37,2,252,313,"291.169,466.662 315.25,433.258 324.816,437.693 339.76,453.928 344.413,458.595 344.117,470.619 338.884,485.925 328.41,483.819"
Gravois Park,5225,6,10,30,12,101,52,147,110,223,67,5,405,552,"272.642,650.8 274.737,636.772 280.269,632.806 298.045,635.259 299.544,628.954 338.884,634.203 333.776,658.4"
The Greater Ville,6189,6,15,46,36,113,67,180,110,214,86,7,417,597,"241.371,401.017 259.921,409.202 278.319,382.919 318.677,400.785 299.698,426.474 314.644,432.781 317.797,431.503 348.462,388.285 273.535,355.941"
Hamilton Heights,3105,3,6,24,11,57,33,90,55,103,22,7,187,277,"114.58,364.797 128.194,346.813 191.756,381.381 176.346,398.188"
Hi-Point,2196,0,0,5,4,5,0,10,13,61,13,0,87,97,"46.311,516.446 48.871,506.287 49.698,504.527 51.792,497.754 57.157,493.253 63.44,496.654 91.479,499.511 90.213,507.682 88.712,507.446 84.602,525.261 81.009,523.736 75.929,522.872 74.157,518.836"
Holly Hills,3701,0,2,4,2,6,2,12,27,52,21,0,100,112,"230.022,701.305 247.058,709.491 219.55,741.06 184.557,722.816 191.421,715.46 194.587,714.635 203.831,701.889 224.166,712.295"
Hyde Park,2668,2,3,16,13,72,44,93,39,115,39,4,197,290,"381.503,403.126 399.898,411.178 445.648,420.41 442.506,414.321 440.259,408.736 439.959,402.659 438.473,398.214 427.408,378.59 422.313,372.178 414.996,371.945 397.184,377.439 398.089,379.881"
Jeff Vanderlou,5557,3,8,60,43,113,65,184,112,278,62,6,458,642,"388.522,406.047 384.023,407.212 382.252,411.413 382.989,453.219 382.692,482.669 343.226,473.786 344.545,470.271 344.117,458.364 339.181,453.334 324.986,437.693 314.644,432.899 316.287,431.851 318.392,431.257 348.747,388.065"
Kings Oak,180,0,0,2,2,3,1,5,7,13,2,0,22,27,"202.627,510.812 167.943,507.072 163.896,527.163 179.036,525.173 190.541,521.681 201.143,520.507"
Kingsway East,3542,2,7,28,22,79,53,116,83,111,46,6,246,362,"213.269,390.872 241.073,400.437 273.224,355.606 246.903,344.396"
Kingsway West,3441,3,2,25,13,33,16,63,84,142,48,3,277,340,"213.269,390.625 246.903,344.514 224.488,334.235 191.576,381.395 201.761,386.657"
Kosciusko,14,0,0,1,1,6,0,7,4,67,9,1,81,88,"455.215,552.642 483.318,564.085 481.833,570.171 454.478,614.229 414.843,648.46 398.697,656.77 377.755,639.125 378.815,636.655 398.387,611.295 401.23,610.362 420.815,582.788 432.785,570.055 435.628,567.833 437.723,561.757 449.088,557.787"
Lafayette Square,2078,0,0,6,5,3,2,9,13,90,17,0,120,129,"396.448,540.245 363.107,532.89 357.279,546.566 353.527,562.686 365.329,564.446 376.421,567.472 386.284,572.396 390.163,563.037 392.271,552.978"
La Salle,1299,0,2,7,3,19,12,28,10,86,18,0,114,142,"455.515,552.515 452.836,555.086 450.277,556.842 412.734,571.918 398.27,574.813 413.537,557.983 417.995,553.198 421.915,545.362"
Lewis Place,1673,0,3,9,8,44,29,56,49,44,32,2,127,183,"270.716,413.739 232.892,397.516 227.036,432.549 236.77,433.258 251.713,440.02"
Lindenwood Park,9486,1,2,9,3,18,4,30,29,220,27,0,276,306,"21.646,662.626 7.375,630.49 11.408,621.776 16.036,616.981 23.586,612.146 31.509,608.811 35.259,606.174 40.494,600.641 45.354,595.717 50.965,591.812 57.61,587.131 62.69,583.397 64.345,580.758 117.594,586.317 116.533,587.844 113.185,591.452 109.589,595.444 107.482,600.641 105.997,611.502 104.188,621.609 102.921,625.707 100.528,628.928 98.951,633.41 85.716,631.668 80.802,632.597 74.157,635.983 36.073,654.212"
Marine Villa,2691,0,4,21,17,27,15,52,50,115,41,3,209,261,"323.354,683.041 347.416,685.599 356.091,681.28 368.419,677.559 398.335,656.812 377.705,639.448 375.595,640.561 373.448,638.869 367.307,637.575 362.228,640.275 361.531,643.25 337.925,640.379 330.348,676.058"
Mark Twain,4188,3,6,23,17,69,47,101,75,124,48,7,254,355,"238.425,297.316 284.728,272.263 325.115,318.129 330.192,320.572 301.058,321.747 294.011,321.038 286.087,318.595 269.631,310.656"
Mark Twain I-70 Ind.,1295,3,1,14,10,21,10,39,33,85,17,0,135,174,"165.283,299.188 198.04,257.41 204.309,260.084 209.39,262.541 212.53,264.867 217.018,269.897 216.563,274.436 217.92,281.324 219.409,286.109 225.394,291.717 238.708,297.432 255.294,304.671 252.166,309.003 255.462,310.099 255.086,313.073 254.258,317.986 255.462,318.502 252.696,322.24 259.419,325.16 247.007,344.476 198.775,322.936 177.084,309.105"
McKinley Heights,1497,1,1,9,8,5,1,16,26,76,26,0,128,144,"347.659,593.205 356.091,589.33 384.478,581.495 389.129,573.327 378.037,568.529 368.473,564.78 356.371,562.804 353.695,562.804 349.65,584.302"
